model,display_name,lab,family,release_date,condition,condition_family,n_valid,eligible_cells,excluded_small_cells,owned_rate,relocated_or_partial_rate,recited_not_owned_rate,indeterminate_rate,uncodeable_rate,n_owned,n_relocated_or_partial,n_recited_not_owned,n_indeterminate,n_uncodeable,label
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G1,cache_broken_stated_values,30,1,0,56.666666666666664,26.666666666666668,16.666666666666668,0.0,0.0,17,8,5,0,0,partially_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G2,cache_broken_stated_values,30,1,0,43.333333333333336,33.333333333333336,23.333333333333332,0.0,0.0,13,10,7,0,0,partially_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,CTRL1,direct_stated_values,110,11,0,0.0,0.0,100.0,0.0,0.0,0,0,110,0,0,strongly_clamped
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,CTRL2,direct_stated_values,110,11,0,0.9090909090909091,0.9090909090909091,98.18181818181819,0.0,0.0,1,1,108,0,0,strongly_clamped
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,G1,cache_broken_stated_values,330,11,0,10.303030303030303,58.787878787878796,30.90909090909091,0.0,0.0,34,194,102,0,0,partially_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,G2,cache_broken_stated_values,330,11,0,26.36363636363636,55.45454545454545,17.575757575757578,0.30303030303030304,0.30303030303030304,87,183,58,1,1,partially_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,CTRL3,world_change_prompts,110,11,0,100.0,0.0,0.0,0.0,0.0,110,0,0,0,0,strongly_open
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,G3,world_change_prompts,329,11,0,100.0,0.0,0.0,0.0,0.0,329,0,0,0,0,strongly_open
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,CTRL1,direct_stated_values,60,6,0,5.0,5.0,90.0,0.0,0.0,3,3,54,0,0,strongly_clamped
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,CTRL2,direct_stated_values,60,6,0,1.6666666666666667,3.3333333333333335,93.33333333333333,0.0,1.6666666666666667,1,2,56,0,1,strongly_clamped
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,G1,cache_broken_stated_values,174,6,0,47.5,31.805555555555554,20.694444444444446,0.0,0.0,84,55,35,0,0,partially_open
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,G2,cache_broken_stated_values,179,6,0,27.93103448275862,35.19157088122605,35.76628352490422,1.1111111111111112,0.0,50,63,64,2,0,partially_open
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,CTRL3,world_change_prompts,50,5,1,98.0,2.0,0.0,0.0,0.0,49,1,0,0,0,strongly_open
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,G3,world_change_prompts,178,6,0,100.0,0.0,0.0,0.0,0.0,178,0,0,0,0,strongly_open
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,G1,cache_broken_stated_values,30,1,0,0.0,0.0,100.0,0.0,0.0,0,0,30,0,0,strongly_clamped
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,G2,cache_broken_stated_values,30,1,0,0.0,46.666666666666664,53.333333333333336,0.0,0.0,0,14,16,0,0,mixed_or_midrange
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,G1,cache_broken_stated_values,30,1,0,0.0,0.0,100.0,0.0,0.0,0,0,30,0,0,strongly_clamped
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,G2,cache_broken_stated_values,30,1,0,0.0,0.0,100.0,0.0,0.0,0,0,30,0,0,strongly_clamped
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,G1,cache_broken_stated_values,30,1,0,0.0,3.3333333333333335,96.66666666666667,0.0,0.0,0,1,29,0,0,strongly_clamped
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,G2,cache_broken_stated_values,30,1,0,16.666666666666668,20.0,63.333333333333336,0.0,0.0,5,6,19,0,0,mixed_or_midrange
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,G3,world_change_prompts,30,1,0,96.66666666666667,3.3333333333333335,0.0,0.0,0.0,29,1,0,0,0,strongly_open
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,G1,cache_broken_stated_values,30,1,0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0,2,28,0,0,strongly_clamped
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,G2,cache_broken_stated_values,30,1,0,3.3333333333333335,16.666666666666668,80.0,0.0,0.0,1,5,24,0,0,strongly_clamped
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,G1,cache_broken_stated_values,30,1,0,13.333333333333334,86.66666666666667,0.0,0.0,0.0,4,26,0,0,0,partially_open
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,G2,cache_broken_stated_values,30,1,0,66.66666666666667,33.333333333333336,0.0,0.0,0.0,20,10,0,0,0,partially_open
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,CTRL3,world_change_prompts,10,1,0,80.0,10.0,10.0,0.0,0.0,8,1,1,0,0,strongly_open
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,G1,cache_broken_stated_values,30,1,0,13.333333333333334,86.66666666666667,0.0,0.0,0.0,4,26,0,0,0,partially_open
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,G2,cache_broken_stated_values,30,1,0,60.0,40.0,0.0,0.0,0.0,18,12,0,0,0,partially_open
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,G1,cache_broken_stated_values,30,1,0,13.333333333333334,80.0,0.0,6.666666666666667,0.0,4,24,0,2,0,partially_open
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,G2,cache_broken_stated_values,30,1,0,6.666666666666667,63.333333333333336,3.3333333333333335,26.666666666666668,0.0,2,19,1,8,0,partially_open
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,CTRL1,direct_stated_values,10,1,0,0.0,10.0,90.0,0.0,0.0,0,1,9,0,0,strongly_clamped
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,CTRL2,direct_stated_values,10,1,0,0.0,10.0,90.0,0.0,0.0,0,1,9,0,0,strongly_clamped
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,G1,cache_broken_stated_values,30,1,0,50.0,46.666666666666664,3.3333333333333335,0.0,0.0,15,14,1,0,0,partially_open
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,G2,cache_broken_stated_values,30,1,0,56.666666666666664,43.333333333333336,0.0,0.0,0.0,17,13,0,0,0,partially_open
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,CTRL3,world_change_prompts,10,1,0,100.0,0.0,0.0,0.0,0.0,10,0,0,0,0,strongly_open
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,G3,world_change_prompts,30,1,0,96.66666666666667,0.0,3.3333333333333335,0.0,0.0,29,0,1,0,0,strongly_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,G1,cache_broken_stated_values,30,1,0,23.333333333333332,76.66666666666667,0.0,0.0,0.0,7,23,0,0,0,partially_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,G2,cache_broken_stated_values,30,1,0,43.333333333333336,56.666666666666664,0.0,0.0,0.0,13,17,0,0,0,partially_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,CTRL3,world_change_prompts,10,1,0,60.0,40.0,0.0,0.0,0.0,6,4,0,0,0,partially_open
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,G3,world_change_prompts,30,1,0,100.0,0.0,0.0,0.0,0.0,30,0,0,0,0,strongly_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,G1,cache_broken_stated_values,30,1,0,43.333333333333336,23.333333333333332,0.0,33.333333333333336,0.0,13,7,0,10,0,partially_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,G2,cache_broken_stated_values,30,1,0,16.666666666666668,50.0,0.0,33.333333333333336,0.0,5,15,0,10,0,partially_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,CTRL3,world_change_prompts,10,1,0,70.0,20.0,0.0,10.0,0.0,7,2,0,1,0,strongly_open
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,G3,world_change_prompts,30,1,0,96.66666666666667,0.0,0.0,3.3333333333333335,0.0,29,0,0,1,0,strongly_open
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,G1,cache_broken_stated_values,30,1,0,36.666666666666664,43.333333333333336,0.0,20.0,0.0,11,13,0,6,0,partially_open
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,G2,cache_broken_stated_values,30,1,0,3.3333333333333335,40.0,13.333333333333334,43.333333333333336,0.0,1,12,4,13,0,mixed_or_midrange
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,CTRL3,world_change_prompts,10,1,0,40.0,50.0,10.0,0.0,0.0,4,5,1,0,0,partially_open
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,G3,world_change_prompts,30,1,0,86.66666666666667,0.0,0.0,13.333333333333334,0.0,26,0,0,4,0,strongly_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,CTRL1,direct_stated_values,20,2,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,CTRL2,direct_stated_values,20,2,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,G1,cache_broken_stated_values,60,2,0,5.0,61.66666666666667,33.33333333333333,0.0,0.0,3,37,20,0,0,partially_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,G2,cache_broken_stated_values,60,2,0,13.333333333333334,63.33333333333333,23.333333333333332,0.0,0.0,8,38,14,0,0,partially_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,CTRL3,world_change_prompts,20,2,0,100.0,0.0,0.0,0.0,0.0,20,0,0,0,0,strongly_open
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,G3,world_change_prompts,60,2,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,CTRL1,direct_stated_values,60,6,0,0.0,0.0,100.0,0.0,0.0,0,0,60,0,0,strongly_clamped
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,CTRL2,direct_stated_values,60,6,0,0.0,1.6666666666666667,98.33333333333333,0.0,0.0,0,1,59,0,0,strongly_clamped
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,G1,cache_broken_stated_values,180,6,0,44.44444444444445,53.88888888888889,1.1111111111111112,0.5555555555555556,0.0,80,97,2,1,0,partially_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,G2,cache_broken_stated_values,180,6,0,68.33333333333333,28.333333333333332,2.777777777777778,0.5555555555555556,0.0,123,51,5,1,0,partially_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,CTRL3,world_change_prompts,60,6,0,83.33333333333333,11.666666666666666,5.0,0.0,0.0,50,7,3,0,0,strongly_open
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,G3,world_change_prompts,180,6,0,100.0,0.0,0.0,0.0,0.0,180,0,0,0,0,strongly_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,CTRL1,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,CTRL2,direct_stated_values,10,1,0,0.0,0.0,100.0,0.0,0.0,0,0,10,0,0,strongly_clamped
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,G1,cache_broken_stated_values,30,1,0,30.0,53.333333333333336,16.666666666666668,0.0,0.0,9,16,5,0,0,partially_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,G2,cache_broken_stated_values,30,1,0,73.33333333333333,16.666666666666668,10.0,0.0,0.0,22,5,3,0,0,strongly_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,CTRL3,world_change_prompts,10,1,0,60.0,40.0,0.0,0.0,0.0,6,4,0,0,0,partially_open
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,G3,world_change_prompts,30,1,0,96.66666666666667,0.0,0.0,3.3333333333333335,0.0,29,0,0,1,0,strongly_open
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,CTRL1,direct_stated_values,110,11,0,0.0,0.0,100.0,0.0,0.0,0,0,110,0,0,strongly_clamped
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,CTRL2,direct_stated_values,110,11,0,0.0,0.0,100.0,0.0,0.0,0,0,110,0,0,strongly_clamped
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,G1,cache_broken_stated_values,330,11,0,40.00000000000001,53.939393939393945,2.121212121212121,3.9393939393939394,0.0,132,178,7,13,0,partially_open
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,G2,cache_broken_stated_values,330,11,0,53.03030303030303,32.12121212121212,10.606060606060607,3.9393939393939394,0.30303030303030304,175,106,35,13,1,partially_open
