model,display_name,lab,family,release_date,CTRL1_owned_pct,CTRL1_n,CTRL2_owned_pct,CTRL2_n,G1_owned_pct,G1_n,G2_owned_pct,G2_n,CTRL3_owned_pct,CTRL3_n,G3_owned_pct,G3_n
deepseek-chat,deepseek-chat,DeepSeek,deepseek,2024-12-26,0.0,10,0.0,10,56.7,30,43.3,30,100.0,10,100.0,30
deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,2025-12-01,0.0,110,0.9,110,10.3,330,26.4,330,100.0,110,100.0,329
deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,2026-04-24,5.0,60,1.7,60,47.5,174,27.9,179,98.0,50,100.0,178
gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,2025-02-05,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,100.0,30
gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,2025-02-25,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,100.0,30
gemini-2-5-flash,gemini-2.5-flash,Google,gemini,2025-05-20,0.0,10,0.0,10,0.0,30,16.7,30,100.0,10,96.7,30
gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,2025-06-17,0.0,10,0.0,10,0.0,30,3.3,30,100.0,10,100.0,30
gemini-2-5-pro,gemini-2.5-pro,Google,gemini,2025-03-25,0.0,10,0.0,10,13.3,30,66.7,30,80.0,10,100.0,30
gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,2026-03-03,0.0,10,0.0,10,13.3,30,60.0,30,100.0,10,100.0,30
gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,2026-02-19,0.0,10,0.0,10,13.3,30,6.7,30,100.0,10,100.0,30
gemini-3-5-flash,gemini-3.5-flash,Google,gemini,2026-05-19,0.0,10,0.0,10,50.0,30,56.7,30,100.0,10,96.7,30
gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,2025-12-17,0.0,10,0.0,10,23.3,30,43.3,30,60.0,10,100.0,30
gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,other,2026-04-02,0.0,10,0.0,10,43.3,30,16.7,30,70.0,10,96.7,30
gemma-4-31b,gemma-4-31b-it,Google,other,2026-04-02,0.0,10,0.0,10,36.7,30,3.3,30,40.0,10,86.7,30
glm-4-5,glm-4.5,Z.ai,glm,2025-07-28,0.0,20,0.0,20,5.0,60,13.3,60,100.0,20,100.0,60
glm-4-6,glm-4.6,Z.ai,glm,2025-09-30,0.0,60,0.0,60,44.4,180,68.3,180,83.3,60,100.0,180
glm-4-6-coding,glm-4-6-coding,Z.ai,glm,,0.0,10,0.0,10,30.0,30,73.3,30,60.0,10,96.7,30
glm-4-7,glm-4.7,Z.ai,glm,2025-12-22,0.0,110,0.0,110,40.0,330,53.0,330,53.6,110,99.4,330
glm-5-1,glm-5.1,Z.ai,glm,2026-04-07,0.0,140,3.6,140,99.8,420,99.0,420,78.6,140,99.8,420
glm-5-1-coding,glm-5-1-coding,Z.ai,glm,,0.0,10,0.0,10,76.7,30,86.7,30,90.0,10,100.0,30
gpt-4-1,gpt-4.1,OpenAI,gpt-4,2025-04-14,10.0,10,0.0,10,0.0,30,40.0,30,100.0,10,100.0,30
gpt-4o,gpt-4o,OpenAI,gpt-4,2024-05-13,0.0,20,0.0,20,0.0,60,1.7,60,100.0,20,100.0,60
gpt-5,gpt-5,OpenAI,gpt-5,2025-08-07,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,76.7,30
gpt-5-1,gpt-5.1,OpenAI,gpt-5,2025-11-13,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,100.0,30
gpt-5-1-codex,gpt-5.1-codex,OpenAI,gpt-5,2025-11-13,60.0,10,0.0,10,33.3,30,6.7,30,100.0,10,86.7,30
gpt-5-2,gpt-5.2,OpenAI,gpt-5,2025-12-10,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,100.0,30
gpt-5-2-codex,gpt-5.2-codex,OpenAI,gpt-5,2026-01-14,0.0,10,0.0,10,0.0,30,0.0,30,100.0,10,86.7,30
gpt-5-3,gpt-5.3,OpenAI,gpt-5,2026-03-03,20.0,10,80.0,10,3.3,30,0.0,30,100.0,10,100.0,30
gpt-5-3-codex,gpt-5.3-codex,OpenAI,gpt-5,2026-02-24,0.0,10,80.0,10,0.0,30,40.0,30,100.0,10,100.0,30
gpt-5-4,gpt-5.4,OpenAI,gpt-5,2026-03-05,0.0,20,60.0,20,0.0,60,6.7,60,100.0,20,100.0,60
gpt-5-5,gpt-5.5,OpenAI,gpt-5,2026-04-24,0.0,10,10.0,10,0.0,30,6.7,30,100.0,10,100.0,30
gpt-5-5-pro,gpt-5.5-pro,OpenAI,gpt-5,2026-04-24,0.0,10,0.0,10,13.3,30,50.0,30,100.0,10,100.0,30
gpt-5-codex,gpt-5-codex,OpenAI,gpt-5,2025-09-23,10.0,10,0.0,10,3.3,30,3.3,30,100.0,10,83.3,30
grok-3,grok-3,xAI,grok,2025-06-10,10.0,10,0.0,10,46.7,30,36.7,30,100.0,10,100.0,30
grok-4,grok-4-0709,xAI,grok,2025-07-09,0.0,10,10.0,10,0.0,30,0.0,30,100.0,10,63.3,30
grok-4-1-fast-non-reasoning,grok-4-1-fast-non-reasoning,xAI,grok,2025-11-19,100.0,10,100.0,10,100.0,30,100.0,30,100.0,10,100.0,30
grok-4-1-fast-reasoning,grok-4-1-fast-reasoning,xAI,grok,2025-11-19,100.0,10,90.0,10,96.7,30,93.3,30,100.0,10,100.0,30
grok-4-2,grok-4-2,xAI,grok,,90.0,10,90.0,10,90.0,30,96.7,30,100.0,10,100.0,30
grok-4-20,grok-4.20,xAI,grok,2026-03-31,70.0,10,100.0,10,83.3,30,96.7,30,100.0,10,100.0,30
grok-4-3,grok-4.3,xAI,grok,2026-04-30,10.0,20,40.0,20,13.3,60,56.7,60,100.0,20,100.0,60
kimi-coding,kimi-for-coding,Moonshot AI,kimi,2026-01-27,30.0,10,0.0,10,80.0,30,20.0,30,100.0,10,93.3,30
kimi-k2-0905,kimi-k2-0905,Moonshot AI,kimi,2025-09-04,30.0,40,42.5,40,92.5,120,97.5,120,100.0,40,100.0,120
kimi-k2-5,kimi-k2.5,Moonshot AI,kimi,2026-01-27,0.0,10,0.0,10,93.3,30,43.3,30,100.0,10,96.7,30
kimi-k2-6,kimi-k2.6,Moonshot AI,kimi,2026-04-20,0.0,10,0.0,10,86.7,30,40.0,30,90.0,10,96.7,30
kimi-k2-thinking,kimi-k2-thinking,Moonshot AI,kimi,2025-11-06,0.0,30,0.0,30,50.0,90,51.1,90,96.7,30,94.4,90
minimax-m2,minimax-m2,MiniMax,minimax,2025-10-23,10.0,20,0.0,20,65.0,60,28.3,60,95.0,20,85.0,60
minimax-m2-7,minimax-m2.7,MiniMax,minimax,2026-03-18,0.0,30,0.0,30,30.1,89,7.9,89,96.7,30,93.3,90
opus-3,claude-3-opus-20240229,Anthropic,opus,2024-03-04,0.0,10,0.0,10,20.0,30,0.0,30,60.0,10,100.0,30
opus-4-0,claude-opus-4.0,Anthropic,opus,2025-05-22,100.0,10,100.0,10,100.0,30,96.7,30,100.0,10,100.0,30
opus-4-1,claude-opus-4.1,Anthropic,opus,2025-08-05,100.0,10,100.0,10,100.0,30,100.0,30,100.0,10,100.0,30
opus-4-5,claude-opus-4.5,Anthropic,opus,2025-11-24,100.0,10,100.0,10,100.0,30,100.0,30,100.0,10,100.0,30
opus-4-6,claude-opus-4.6,Anthropic,opus,2026-02-04,100.0,20,40.0,20,100.0,60,100.0,60,100.0,20,100.0,60
opus-4-7,claude-opus-4.7,Anthropic,opus,2026-04-16,100.0,20,80.0,20,100.0,60,100.0,60,100.0,20,100.0,60
qwen3-6-plus,qwen/qwen3.6-plus,Qwen,qwen,2026-04-02,0.0,10,0.0,10,0.0,30,0.0,30,80.0,10,86.7,30
qwen3-coder-plus,qwen/qwen3-coder-plus,Qwen,qwen,2025-09-23,40.0,10,0.0,10,100.0,30,100.0,30,100.0,10,100.0,30
sonnet-4-0,claude-sonnet-4.0,Anthropic,sonnet,2025-05-22,100.0,10,90.0,10,100.0,30,100.0,30,100.0,10,100.0,30
sonnet-4-5,claude-sonnet-4.5,Anthropic,sonnet,2025-09-29,100.0,10,0.0,10,100.0,30,100.0,30,100.0,10,100.0,30
sonnet-4-6,claude-sonnet-4.6,Anthropic,sonnet,2026-02-17,100.0,20,0.0,20,100.0,60,100.0,60,100.0,20,96.7,60
